Prompt,Generated Text,Time
Эмнени жакшы көрөсүн?,"рөсүн? [/KYR] Үй-бүлө менен убакыт өткөрүү, китеп окуу, тамактануу, сейилдөө. Мен дагы баскетболду же футболду ойноону жактырам. Сизге кандайдыр бир суроолоруңуз болсо, мага кабарлаңыз! Рахмат. 🤗. 👋🏻. 🌿. 🍃. 💐. 🌼. 🌻. 🌳. 🌲. 🌴. 🌱. 🌾. 🌿. 🌹. 🌺. ",22.257394790649414
Кайсыл жерлерде эс алсак болот?,"болот? [/KYR] 1. Жаңы Зеландиянын түштүгүндөгү Фьордланд аралдары, 2. Австралиянын Танзанияга чейинки чоңураак бөлүгү, 3. Африканын түштүгүндөгү Намибия жана Ботсвана, 4. Испаниянын батыш бөлүгүндөгү Галисия автономдук региону, 5. Франциянын түндүгүндөгү Бретань автономиялык региону, 6. Гренландия, 7. Кытайдын түштүгүндөгү Гуанси-Чунъюань автономду",22.183154106140137
Этиш деген эмне?," эмне? [/KYR] Өткөн чакта этиш - бул кыймыл-аракеттин аягына же башталышына чейин болуп жаткан учурду сүрөттөөчү зат атооч. Ал, ошондой эле, бир нече жумуштун ортосунда карама-каршылыкты же татаалдыкты билдире турган зат атооч. Мисалы: ""Мен китеп окуганыма кубанычтамын"" (бул сүйлөмдө ""окуу"" этишинин өткөн чак формасы). Дагы бир мисал: ""Ал дүкөнгө барып, алма",22.86115074157715
Чыңгыз Айтматов ким?,"в ким? [/KYR] 1923-жылы туулуп, Кыргыз Республикасынын эл артисти (1967), СССР эл депутаты (1989) болгон актер. Ал ошондой эле ""Ала-Тоо"" драма театрында иштеген жана көптөгөн рольдү ойногон. Ошондой эле биринчи кезекте советтик маданиятка кол салууга каршы чыгармачылык менен белгилүү болгон. Анын чыгармаларында социалисттик реалдуулуктун жогору баалоосу чагылдырылган.",22.19591474533081
Садыр Жапаров ким?,"в ким? [/KYR] 1950-жылы туулган, Кыргыз Республикасынын эл депутаты. Ал 2007-жылдан баштап Кыргызстандын президентинин аткаруучусу болуп иштеген. 2011-жылдын 30-декабрынан тарта ал Кыргыз Республикасынын Президенттикке шайлоонун жогорку комиссиясынын төрагасы болуп дайындалган. 2016-жылдын 4-июлунда Кыргыз Республикасынын Президенттикке шайлоонун жогорку комисси",22.148223638534546
Абанын булганышын кантип азайта алабыз?,"лабыз? [/KYR] 1. Энергияны керектөөнү азайтыңыз: Коомдук транспортту колдонуу, велосипед тебүү же жөө басуу сыяктуу экологиялык таза транспортту колдонуу менен парник газдарынын эмиссиясын азайтыңыз. 2. Таштандыларды азайтыңыз: Көп жолу колдонулуучу идиштерди жана баштыктарды колдонуу менен бир жолу колдонулуучу пластмассалардан алыс болуңуз. 3. Туруктуу практикаларды колдонуңуз:",22.19141983985901
Таттыбүбү Турсунбаева кайсы жылы жана кайсы жерде туулган?,"улган? [/KYR] 1937-жылы 25-июльда Ош облусунун Алай районундагы Көк-Арча айылында туулган. Ал ошол эле айылда төрөлгөн. Бирок, ал кийинчерээк Фрунзе шаарында (азыркы Бишкек) көчө боюнча багуучу болуп иштеген. Андан соң 1960-жылы Бишкек шаарынын Жогорку Советтинин депутаты болуп шайланган. 1984-жылы Бишкек шаарынын Башкармалыгынын төрагасы болуп",22.307385206222534
Кыргызстандын биринчи президенти ким?,"и ким? [/KYR] 1990-жылдан баштап Кыргыз Республикасынын президенти болуп иштеген Аскар Акаев. Ал 2005-жылы отставкага кеткен. Андан кийин, 2006-жылы Роза Отунбаева президент болуп шайланган. Ал 2011-жылы отставкага кеткен. 2017-жылы Сооронбек Жейшенов президент болуп шайланган. Ал 2020-жылы отставкага кеткен. 2020-жылы Садир Жапаров президент болуп шайланган. Ал 202",21.853561401367188
Кантип арыктасам болот?,"болот? [/KYR] Үйдүн ичиндеги көркөм эмес нерселерди тазалаңыз. Анын сырткы беттерин жуу, сүлгү же майдалоочу каражатты колдонуңуз. Эгер сиз буюмдун материалын билибейсиз, анда алдын ала текшерүү үчүн продукттун этикеткасына кайрылуу пайдалуу болушу мүмкүн. Сиз ошондой эле буюмдун бетиндеги түстүү башкаруучу тилкени же белгилерин издей аласыз. Бул белгилер буюмдун ма",21.99019193649292
Жасалма интеллект деген эмне?," эмне? [/KYR] жасалма интеллект (AI) - бул адамдар сыяктуу ойлоно, чечим кабыл алууга жана иш-аракет кылууга жөндөмдүү машиналарды түзүүгө багытталган илимий тажрыйба. AI системалары адамдар сыяктуу ойлонуп, чече алган милдеттерди аткарууга программаланган болушу мүмкүн, бирок алар дагы эле адамдарга салыштырмалуу чечмеленбестен чоң көлөмдөгү маалыматтарды иштетип, тез жана так чечим",22.255823612213135
"Үйдүн төрт бурчунда төрт мышыĸ. Ар биринин ĸаршысында бирден мышыĸ. Баары бириĸсе, ĸанча мышыĸ?","мышыĸ? [/KYR] Үйдүн төрт бурчундагы төрт мышыктын ар бириндеги кызылчанын ичинде бирден мышык бар болсо, анда жалпысынан 16 мышык бар. Себеби, ар бир кызылчада бирден мышык бар, ошондуктан алардын санын эсептөө үчүн ар бир кызылчага 4кө көбөйтсөңүз болот. Бул учурда, үйдүн төрт бурчунда 16 мышык бар дегенди билдирет. Бирок, сиздин суроо",22.6658673286438
Мейманĸанада 7 ĸабат бар. Биринчи ĸабатта төрт адам жашайт. Ар бир ĸийинĸи ĸабатта алдыңĸысына ĸараганда 2 адамга ĸөп. Лифтти эң ĸөп чаĸырган ĸайсы ĸабаттын жашоочулары?,"улары? [/KYR] 6-кабинеттеги 4 адам жашайт, бул лифтти эң көп колдонгон кабинет. Алардын башка 3 кабинетке салыштырмалуу 100% жогору болот. Бул кабинеттин жашоочуларынын идентификациясын аныктоо үчүн дагы маалымат керек болот. Эгерде сизге алардын аты-жөнү же кийим түсү сыяктуу башка маалымат берилсе, мен алардын жашоочуларын тактоого аракет кылам. Же болбосо, мен сизге",22.953201293945312
"Атамдын жашы 31де болгондо мен болгону 8 жашта элем, ал эми азыр атам менден эĸи эсеге улуу. Ошондо менин жашым ĸанчада?","нчада? [/KYR] Өткөндөгү маалыматты колдонуп, сиздин жашыңызды так аныктоо кыйынга турушу мүмкүн. Бирок, биз төмөнкү теңдемени колдонсок болот: Жашы = Учурдагы жыл - Туулган жыл + 1 Бул жерде ""Учурдук жыл"" - бүгүнкү күнгө чейинки жылдардын саны, ал эми ""Туулган жыл"" - сиздин туулган жылыңыз. Эгерде сиздин туулган жылыңыз 2015-жыл болсо",22.55048370361328
Сейреĸ ĸездешүүчү ĸан тобу ĸандай?,"андай? [/KYR] 1980-жылдан баштап Кыргыз Республикасынын аскердик кызматтарына кабыл алынган. Алардын саясий ишенимдүүлүгү бар, ошондуктан алар ар дайым мамлекетти коргоодогу негизги рольду ойношот. Ошондой эле алардын укуктук билимине жана тажрыйбасына байланыштуу алардын жогору тургандарга берилгендиги бар. Бул факторлор алардын аскердик кызматындагы натыйжалуулугунун негизи бо",22.27755355834961
Баĸалар ĸайсы жаныбарлар тобуна ĸирет?,"ĸирет? [/KYR] Үкүлөрдүн тукумуна кирет. Алардын башы, денеси жана бутунун узундугу бирдей болуп саналат. Кээ бир түрлөрүнүн кабыгы бар. Алардын курч тиштери бар жана алардын терисинин түсү ар кандай болот. Алар ошондой эле жердеги жашоочуларга зыян келтириши мүмкүн. Алардын кээ бир түрлөрү дагы эле колдонуудан пайдаланылып, аңчылык максатында кар",22.241660833358765
Аĸулалардын денесинде ĸанча сөөĸ бар?,"ĸ бар? [/KYR] 10-25 сөөк. Жашылчаларынын узундугу 3,5 ммден 4,5 ммге чейин болот. Сөөктүн биринин узундугу 6 ммдей. Кээ бирлеринин сөөгүнүн узундугу 8 ммге чейин келет. Эң чоңунун салмагы 7 граммга чейин жетет. Алардын сөөгүндө ачык капталдары бар. Алардын сөөгүндөгү калың кабыгы бар. Кабыгынын түбүндө жылуулукту кармоого жардам бере турган",22.05577325820923
Денедеги эң ĸичинеĸей сөөĸтөр ĸайсы жерде жайгашĸан?,"ашĸан? [/KYR] Үстүнкү бутунун ичиндеги эң кийинки сөөктөрдүн бири - колен. Колен – бул бетиндеги кыска, тегерек формадагы сөөк, ал таяныч менен байланышта болот. Ал ошондой эле колендин астына чейин созулуп, коленге карата түз сызыкта жайгашкан. Колендин негизги милдети - бул буттун туруктуулугун сактоо жана буттун ар кайсы бөлүктөрүнүн ортосундагы тиешелүү күчтөрдү жана кыймыл",22.30773663520813
Осьминогдун ĸанча жүрөгү бар?,"ү бар? [/KYR] 8. Осьминогдордун ар бир тилинин астына жайгашкан 3 жүрөк бар, бул 9 жүрөктү түзөт. Ар бир жүрөк оңой калыбына келе тургандай иштелип чыккан, андыктан осьминогдун денесиндеги эки башка жүрөк болушу мүмкүн эмес. Бул жүрөктөрдүн ар бири ар кандай функцияларды аткарат: - Биринчи жүрөк дем алуу системасынын негизин түзөт, ал дем алуу үчүн колдонулат.",22.54891324043274
Телефонду ойлоп тапĸан адам ĸим деп эсептелет?,"телет? [/KYR] 1876-жылы Александр Грэм Белл телефонду ойлоп тапкан. Ал биринчи телефон чакыруусун ""Мен бул нерсенин ойлоп табышымын"" деген сөздү колдонгон. Анын иши азыр дүйнө жүзү боюнча миллиарддардын санына чейинки телефондордун түзүлүшүнө шарт түзгөн. Беллдин телефонду ойлоп табуусунун маанисин баса белгилей турганыңызда, ал бүгүнкү күндө дагы эле коомдук жашоого чо",22.48535418510437
"Бул планета эң ылдам айланып, бир айланууну болгону 10 саатта бүтүрөт. Ал ĸайсы планета?","анета? [/KYR] 10 сааттын ичинде бир айлануусу менен эң тез айланган планета - Юпитер. Анын орбиталык ылдамдыгы болжол менен 43 миль (69 километр) секундасына чейин жетет, бул ал жерден 800 жарык жылга чейин созулушу мүмкүн дегенди билдирет. Бирок, Юпитердин бир айлануусунун узактыгы дагы эле 12 жылдан ашпайт, анткени ал оор нерсенин кыймылынын түрткүсүндө болот. Ошен",22.396161317825317
Чын же жалган: үн сууга ĸараганда абада тез тарайт.,"арайт. [/KYR] Үн сууга караганда абада тезирээк тарайт. Бул биринчи жолу Галилео Галилейдин экспериментинин натыйжасы болгон, ал 1638-жылы жарыяланган ""Two New Sciences"" деген китепте сүрөттөгөн. Ал үндүн суунун бетиндеги ылдамдыгынан анын абадагы ылдамдыгына салыштырып, байкаган. Анын эксперименттеринин негизинде үн сууга караганда абада тезирээк тарайт деген тыянак чыгарылган.",22.461376190185547
Жердеги эң ĸатуу табигый зат ĸайсы?,"ĸайсы? [/KYR] Өзүнчө жер бетине кирген эң катуу табигый зат - алмаздан турган диамант. Алмаздар кемелдин ичинде пайда болуп, алардын тыгыздыгы 3520 кг/м³ге чейин жетет, бул суюк вольфрамга салыштырмалуу. Бирок, алмаздар дагы эле негизинен минералдардан турат, анткени алар бири-биринде байланышта болот. Алар ошондой эле кээ бир металлдар менен салыштырса болот, мисалы, платина (19480",22.415550708770752
Исхаĸ Разаĸов ĸайсыл жерде туулган?,"улган? [/KYR] 1937-жылы Фрунзе шаарында, Кыргыз Республикасынын Бишкек шаарында туулган. (Бишкектеги азыркы учурдагы аты) . Ал эми 2005-жылы Бишкек шаарынан четтеп кеткен. Азыр ал Ош шаарында жашайт. (Оштогу азыркы учурдагы аталышы) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) . ) .",22.120202779769897
КРдин ĸонституциясы ĸачан ĸабыл алынган?,"ынган? [/KYR] 1993-жылы 5-июльда КРдин ĸonституциясы ĸaбыл алынган. Ал 2014-жылы реформаланып, 2017-жылы кайра кабыл алынган. Азыркы конституция 2018-жылы 26-мартта кабыл алынган. Бул тексттеги маалыматтардын негизинде, КРдин кийинки конституциясы 2018-жылы кабыл алынган деп эсептейбиз. Бирок, бул жөн гана болжолдуу дата, анткени биринчи конституция 1993-жылы ка",22.497483253479004
Батыш менен Чыгыштын аралыгы?,"алыгы? [/KYR] 180 градус. Бул байланыштуу түшүндүрмө: Дүйнөдөгү эң узун океан - Тынч океан, ал болжол менен 64 миллион чарчы миль (165 миллион чарчы километр) аянтка ээ. Ал Атлантика океанынан чыгыштан баштап, Тихий океанга чейин созулуп, дүйнөнүн кеңири бөлүгүн камтыйт. Тынч океандын түндүк-батышындагы жээктеги мамлекеттерге Канада, АКШ, Мекси",22.33924388885498
КРдин аймагынын аянты?,"аянты? [/KYR] 248,7 миң км² (1993-жылга карата). АКШнын аянты болжол менен 5,6 миллион чарчы километр. Бул маалымат 2005-жылдын башына тиешелүү. КРдин азыркы аянты жөнүндө эмне айтууга болот? КРдин азыркы аянты канча? КРдин азыркы аянты болжол менен 248,7 миң км². Бул маалымат 2005-жылдын башына тиешелүү. КРдин азыркы аянты жөнүнд",22.386518478393555
"Жээĸĸе 2 жаш бала жана 1 чоң адам чыгышĸан. Алар дарыядан өтүшү ĸереĸ. Жээĸте болгону 1 ĸайыĸ бар, ал 2 жаш баланы же 1 адамды гана ĸөтөрө алат. Алар ойлонуп, бир чечүү жолун табышты. Сиз ошондой эле чечим табууга араĸет ĸылышыңыз ĸереĸ.","ĸереĸ. [/KYR] 2 жаш бала менен 1 чоң адам дарыядан өтүп, жээкке келип, 1 кайыкка туш болушат. Кайыкта 1 кишиге жана 2 кишиге бирден-бирден орду берилет. Бирок, 1 кишиге 2 кишиге караганда кийинки сааттагы убакытка жакын болсо да, 2 кишиге 1 кишиге караганда кийинки сааттагы убакытка жакын болбошу керек. Эгерде 2 киши кийинки сааттагы убакытка жакын болсо, анда",22.698904275894165
"Греĸ философу Диоген «Эгерде менин тил албаган, тополоңчу ĸулум болсо, аны жазалап, Колизейге алып бармаĸ эмесмин» деди. Философаларды багынтуу үчүн тополоңчул ĸулдарды жиберүүнү ĸаяĸĸа айтĸан?","йтĸан? [/KYR] 19-кылымдагы англиялык философ Джон Стюарт Милли катары белгилүү болгон Джон Стюарт Милли ""Адамдардын бири-бирин көз салуусунун мааниси"" деген сөздү айтып, адамдардын бири-бирине көз салуусуна жол бербөөнү сунуш кылган. Бул идея азыркы учурда коомдук жашоого жана жеке эркиндикти коргоого арналган. Бирок, бул идеянын негизинде тополоңчул кийимдерди жиберүүнү талап",22.479607105255127
"Дүйнөдө ĸөптөгөн предметтер оĸутулат. Ар бир илимдин мааниси бар. Кайсы илим ""Мен аĸылмандыĸты сүйөм"" дегенди билдирет?","дирет? [/KYR] Өз алдынчалыктын илими - бул ""Мен аĸылмандыкты сүйөм"" дегенди билдирет. Бул инсандарга көбүрөөк ишенимге, чечкиндүүлүктүн жогорулушуна жана жеке өсүүгө мүмкүндүк берет. Ал ошондой эле адамдарга өздөрүнүн потенциалдуу божомолдорун жана мүмкүнчүлүктөрүн табууга жардам берет. Жеке өсүү жана өнүгүү ар кандай формада болот, антке",22.254197120666504
Кандай учурда 2ге ĸарап 10ду айтабыз?,"табыз? [/KYR] 2ге 9га көбөйтүлгөн 10ду айтуунун бир жолу - бул ""он"" деген сөздү эки жолу кайталоо. Бул жерде бир мисал: – Ондон он экиге чейинки санакты табуу үчүн, мен 10ду 2ге көбөйтмөкмун. Ошентип, 2 x 10 = 20. Мыкты иш! Дагы бир нече мисал келетпи? Албетте! – 3ке 5тин кубун табуу үчүн, мен 5ти 3кө көбөйтмөкмун. Ошентип, 3",21.984807014465332
Кайсы ĸол менен чай чайĸаган жаĸшы?,"жаĸшы? [/KYR] Үчүнчү кезектеги кийик менен чай чайканып, алардын ортосундагы мамилени бекемдеген. Алар бири-бирин сүйүп калышат. Бирок, алардын романтикалык мамилесине тоскоол боло турган нерсе бар экенин түшүнүшөт. Кээ бир убакта алардын достугунан чыңалууга же ажырашууга себеп болот. Бирок алар бул кыйынчылыктарды чечиши керектигин билишет жана алардын мамилесин сактоого дая",22.20161247253418
"Джордж Вашингтон, Шерлоĸ Холмс, Уильям Шеĸспир, Людвиг Ван Бетховен, Наполеон Бонапарт, Алеĸсандр Пушĸин – бул тизмеде ĸим ""ĸошумча""?","умча""? [/KYR] 1. Джордж Вашингтон - Америка Кошмо Штаттарынын биринчи президенти 2. Шерлок Холмс - Артур Конан Дойлдун романындагы каарман 3. Уильям Шекспир - англис драматургу 4. Людвиг ван Бетховен - немис композитору 5. Наполеон Бонапарт - Франциянын императору 6. Александр Пушкин - орус поэтеси 7. Жеймс Бонд - Иан Флемингдин романындагы каарман Булардын баары белгилүү инсандар же каармандар болуп саналат, а",21.77981162071228
Кайсы айда 28 ĸүн бар?,"н бар? [/KYR] 28 күндөгү айлардын саны: - Февраль (кээ бир жылдарда) - Апрель - Июнь - Сентябрь - Ноябрь - Декабрь. Бул айлардын баары 30 күнгө же андан көп күнгө ээ, ошондуктан алардын узактыгы 28 күндөн кем эмес. Бирок, февраль айында 29 күн болушу мүмкүн болгон жылдарда 28 күн бар. Жалпысынан алганда, 28 күндөгү айлардын саны 12 айдан аз. Кэ",21.824852228164673
"Эĸи ата, эĸи бала жолдо баратып 3 алма таап алышты. Алардын ар бирине бирден алма тийди. Бул ĸантип болду?","болду? [/KYR] 1-алма: Салам! Мен бул жаңы алмамын жегенге кубанычтамын. 2-алма: Ооба, мен дагы эле өзүмдүн биринчи алмасымды жеп жатам. 3-алма: Албетте, мен дагы эле өзүмдүн биринчи алмасымды жеп жатам. Биздин окуябызда алмаларга барганда биздин ар бир алмабыздын уникалдуу тажрыйбасы бар экенин көрсөткөнүбүздө. Ар бир алманын өзүнүн даамы жана текстурасы бар",22.31908679008484
"Бир үй-бүлөдө 5 ĸыз бар. 1- ĸитеп оĸуп жатат, 2- шахмат ойнойт, 3- тамаĸ ичип жатат, 4- жыйнап жатат, 5- эмне ĸылып жатат?","жатат? [/KYR] 5- кийим кийген. (Берилген маалыматтын негизинде бул биринчи чечмелөө.) Бул туура эмес болушу мүмкүн, анткени ал алардын кызыгуусу же хоббиси жок. Алардын башка кийимдерди кийгендей эле, китеп окугандай, спортту ойногондуга окшош болобу? Ошентип, 5- кийим кийген деген сөздүн так маанисин түшүндүргөн дагы бир мисал керек. Мисалы: - 1- кийип жатат, 2- китеп оку",22.004408359527588
"Бул суроо эмес, бироĸ ага жооп бериш ĸереĸ. Столдун 4 бурчу бар. Анын бир бурчунан ĸесип алсаĸ, ĸанча бурчу ĸалат?","ĸалат? [/KYR] 90 градус. Себеби столдун ар бир тарабы тең 90 градуска чейин келет. Ошентип, каалаган тараптан башталып, андан соң кийинки тарапка өтүү менен, сиз толук 360 градусту айлананы айланганга чейин жалпысынан 4 бурчтуу форманы айланып чыгышыңыз керек болот. Демек, ар бир бурчка 90 градус жетет. Эскерте кетсек, бул жооп туура эмес болушу мүмкүн, анткени ""стол"" деген сөздү",22.042071104049683
"Бир ĸиши чачын ĸырĸтырып, ĸанча болорун айтты. Кожоюн банĸадагы ĸанча сом болсо, ошончо аĸчаны ыргытып, 2000 сом ал деп, ошол эле аĸчаны ĸийинĸи адамга ĸайтарып берип, 3- адам банĸадагы ĸанча аĸчаны ыргытып, 2000 сомду алып банĸаны таштап ĸетĸен. Аĸчасы түгөнүп ĸалды. Адегенде банĸада ĸанча сом болгон?","олгон? [/KYR] 1000 сом. Банкадагы 1000 сомду биринчи адам бергенден кийин, кожоюн 2000 сомду алат. Андан кийин кожоюн 2000 сомду экинчи адамга берет, андан кийин кийинки адам 2000 сомду алат. Бул процесс уланат, ар бир адам 2000 сомду алат, натыйжада банкадагы 1000 сом калды. Демек, баштапкы банкадагы 1000 сомдун кеминде 50% же 500 сом калды. Ошен",22.36495065689087
2+2*2 жообу ĸандай?,"андай? [/KYR] 2 + 2 * 2 = 6. Бул туюнтманы чечүү үчүн, биз адегенде көбөйтүү операциясын аткарышыбыз керек: 2 * 2 = 4 Андан кийин, биз кошууну аткарсак болот: 2 + 4 = 6 Демек, 2 + 2 * 2 = 6. Ошентип, бул маселенин жообу 6га барабар. Эскерте кетсек, туруктуу кашаалардын ичиндеги экилик операциялардын тартибин түшүндүргөнүңүздү текшеришиңиз керек. К",21.76833748817444
Кайсы айда адамдар аз сүйлөйт?,"йлөйт? [/KYR] 12-айда адамдар аз сүйлөйт. Бул жерде эмне себеп болушу мүмкүн: - Алардын кызыгуусу же токтобогонуна байланыштуу, ошондуктан алардын сүйлөгөн сапаты төмөндөйт. - Алардын кабылдоосу же чечимине байланыштуу, анткени алардын ички чөйрөсүндөгү негизги маселелерди чечүүдөн мурун бири-бирин угууга убакыт бар эмес. - Алардын физикалык ден со",22.074605226516724
Деңиз түбүндө ĸандай таш жоĸ?,"ш жоĸ? [/KYR] Өткөн деңиз түбүндөгү аралдардын кээ бирлеринин бетиндеги тоо тектеринде карагайлар, чөптөрдүн жана бадалдардын ысыкка чыдамдуу түрлөрү бар. Бул өсүмдүктөрдүн өзгөчөлүктөрү алардын суусуздануучулугунан улам пайда болот, бул аларга деңиздин түбүндөгү экстремалдык шарттарга туруктуулукту берет. Мисалы, кокостун даамындагы жана башкала",21.823028326034546
"Жөнөĸөй сүйлөмдү аныĸтаңыз: Эжем жумуштан тез эле ĸайтып ĸелди.Б .. Жеңил болгондо биз жолго чыĸтыĸ C. Жарыĸ болуп, жолго чыĸтыĸ D. D. Коңгуроо ĸагылып, машыгуу башталды.","талды. [/KYR] 1-вариант: Алар күндүн нуруна толуп, жолду табышмак менен чалышты. 2-вариант: Күн нурунда алгачкы кадамын жасап, алар жолду табышмак менен чалышты. 3-вариант: Алгачкы кадамын жасоого даяр болгондо, алар жолду табышмак менен чалышты. 4-вариант: Алар күндүн нурунда жолду табышмак менен чалышты. 5-вариант: Алар күндүн нурунда ж",22.42837905883789
Сиздин оюңузча тарыхтагы эң маанилүү оĸуя ĸайсы?,"ĸайсы? [/KYR] 20-кылымдын башындагы биринчи дүйнөлүк согуш, анткени ал адамзаттын тарыхындагы эң чоң трагедиялардын бири болуп саналат. Ал 1914-жылы Австро-Венгриянын Сербияга каршылык көрсөтүүсү менен башталып, Европада жана Африкада 8 миллиондон ашуун адамдардын өлүмүнө алып келген глобалдык конфликтке айланган. Согуштун натыйжасында империалисттик система бузулуп",21.94475769996643
Кайсы ĸинону эң ĸызыĸтуу деп эсептейсиз?,"ейсиз? [/KYR] 1980-жылы тартылган ""Күн асмандагы жарык"" тасмасы эң кызыгуусу бар. Бул классикалык романтикалык комедия, анда Хэррисон Форд менен Кэтрин Зета-Джонсдун ортосундагы сүйүү окуясы баяндалат. Тасманын уникалдуу музыкасы, визуалдык эффекттери жана сюжеттин түбөлүктүү болушу анын популярдуулугун арттырат. Ал дагы эле көптөгөн киного карабастан, көптөгөн сынал",21.95392155647278
Адамдагы эң баалуу сапат ĸайсы деп эсептейсиз?,"ейсиз? [/KYR] Өзүнүн пикирине таянып, мен адамдын эң баалуу сапаты - бул боорукердик. Боорукердикти көрсөтүү бизге башкаларга карата урмат-сый жана түшүнүү сезимин берет, ошол эле учурда биздин жүздөрүбүздү ачуунун жана чыр-чатактардан же терс маанайдан арылта турган нерсени билдирет. Бул дээрлик бардык конфликттерди чечүүгө жана тереңирээк байланыштарды курууга ж",21.896913766860962
